team,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20
t13,0.034510597,0.92459953,0.929969544,0.177139129,0.383993808,0.020495849,0.328784042,0.837755981,0.76391543,0.030298206,0.60328699,0.725941899,0.714905853,0.345237942,0.476211461,0.153102962,0.371917306,0.132135439,0.146119516,0.075907828
t14,0.491696608,0.468770253,0.73349519,0.488745712,0.227739983,0.813212806,0.232890302,0.791188917,0.668912104,0.824310416,0.069420013,0.291295737,0.126172824,0.839429239,0.134334754,0.327168108,0.485352248,0.161402848,0.094726478,0.140034543
t15,0.177230133,0.21533238,0.092432889,0.795376269,0.848094366,0.501680419,0.659841043,0.9454144,0.781795321,0.995289831,0.447813017,0.951084566,0.208799513,0.841219214,0.444551226,0.088197256,0.583557168,0.062611658,0.825351624,0.90970022
t16,0.637946565,0.861072222,0.257729381,0.835641113,0.915373061,0.48007159,0.913633272,0.794847424,0.299847868,0.24539959,0.637298408,0.211977596,0.466862742,0.590934759,0.836124028,0.318942257,0.018498498,0.830727897,0.576244734,0.262032819
t17,0.140450733,0.785688528,0.156040017,0.509125395,0.112326415,0.153573139,0.121137052,0.587116719,0.834753396,0.485288468,0.367746056,0.977276374,0.247469589,0.142297322,0.139711213,0.618370072,0.403485454,0.904259939,0.311638918,0.535075455
t18,0.692556906,0.801743343,0.774437764,0.74961055,0.076148577,0.6396386,0.384659419,0.17069957,0.533782748,0.293995663,0.837417785,0.115219546,0.207849016,0.50611919,0.400916369,0.434975921,0.983843881,0.941265324,0.435694,0.081092461
t19,0.928050284,0.591939197,0.179858258,0.073620442,0.679278429,0.169210462,0.914253739,0.09414904,0.074043193,0.042182205,0.271499543,0.45631517,0.713235302,0.251198073,0.647229062,0.819501928,0.67999428,0.698681893,0.895196279,0.85597349
t20,0.937872926,0.976600967,0.812714384,0.796254041,0.834765776,0.215040162,0.072367497,0.175748966,0.435586108,0.365772151,0.15050095,0.421208496,0.307228407,0.492073715,0.620872787,0.469776506,0.935765637,0.498261455,0.035772256,0.483752752
t21,0.392760392,0.461883853,0.510433701,0.274550333,0.437638252,0.208242955,0.598964197,0.179750727,0.563334518,0.706601286,0.290311457,0.681072387,0.553417523,0.719478776,0.177861488,0.129258806,0.989512361,0.582703966,0.329908812,0.342033486
t22,0.744373059,0.060738625,0.198062116,0.524115055,0.597228629,0.749948862,0.234771575,0.618965769,0.929107072,0.515203174,0.987050641,0.734161097,0.16894581,0.032783612,0.66261332,0.388237873,0.394902597,0.287037857,0.837463578,0.951896097
t23,0.737412678,0.053844192,0.178698396,0.063012071,0.096987919,0.659223308,0.947808264,0.58009445,0.919256509,0.403289285,0.248901954,0.512551448,0.237003875,0.140746661,0.390792294,0.351168293,0.048465671,0.816764446,0.183336452,0.634097568
t24,0.279456353,0.468642908,0.580557502,0.966525698,0.394785175,0.276873698,0.810885411,0.409148959,0.311164172,0.44825403,0.624661257,0.616912717,0.085377496,0.930079358,0.120302895,0.170826806,0.045833824,0.640983589,0.658552456,0.543208962
t25,0.180399674,0.345841507,0.792537254,0.540864196,0.717202775,0.144657283,0.255442347,0.596749447,0.146537439,0.907512177,0.419716687,0.919716775,0.588533136,0.828230985,0.238182074,0.940299993,0.882393888,0.291943285,0.930775596,0.306382687
t26,0.862102481,0.475640719,0.899546456,0.579553349,0.140301099,0.96723092,0.833942563,0.518901005,0.156466582,0.681413356,0.009478851,0.504196989,0.032600116,0.522581582,0.256402063,0.872340529,0.693877301,0.887418617,0.315096885,0.562339698
t27,0.198718511,0.449171139,0.774824924,0.826055524,0.621019168,0.002121025,0.330817276,0.54590431,0.561775777,0.69515657,0.064968175,0.408604954,0.87472437,0.408377644,0.915642298,0.716766705,0.251216233,0.854864881,0.32972569,0.359539544
t28,0.299905697,0.811984327,0.290883446,0.6327078,0.099643888,0.56841821,0.66001546,0.221518781,0.025886303,0.255484792,0.359140658,0.190472582,0.716707849,0.505346988,0.623746041,0.370578404,0.033978691,0.187692873,0.724732467,0.236506959
t29,0.976937014,0.921323623,0.340826869,0.433150127,0.218129351,0.506120843,0.390830218,0.263645544,0.107312952,0.827048977,0.908950341,0.782953548,0.413756277,0.671764796,0.137449637,0.869718349,0.593874659,0.375279568,0.315683894,0.279934403
t30,0.043327574,0.77458461,0.761976536,0.309007296,0.716291017,0.764006867,0.13492937,0.264775866,0.127755364,0.778362759,0.825955796,0.408996782,0.869756553,0.500133093,0.95287723,0.095157276,0.389010783,0.379077245,0.511451723,0.395616035
t31,0.375583998,0.274188269,0.176129203,0.897513685,0.692377898,0.031383634,0.717354322,0.375370248,0.059296671,0.993944234,0.398595465,0.988913814,0.211842382,0.717498865,0.722431349,0.83563052,0.283115761,0.678475299,0.80106749,0.928857022
t32,0.590490476,0.657014222,0.656539114,0.18319436,0.310875426,0.514738556,0.400687597,0.838286802,0.75436265,0.909537738,0.89815114,0.676681145,0.616182239,0.555240542,0.602579273,0.813696555,0.312655176,0.204225779,0.535820555,0.696125407
